freq,psd_x,psd_y,psd_z,psd_xyz
135.0,7.451e+04,3.638e+04,2.713e+04,1.380e+05
136.5,6.155e+04,3.180e+04,2.078e+04,1.141e+05
137.9,6.622e+04,2.702e+04,1.905e+04,1.123e+05
139.3,5.866e+04,3.233e+04,2.001e+04,1.110e+05
140.8,6.885e+04,2.575e+04,1.841e+04,1.130e+05
142.2,7.029e+04,2.314e+04,1.866e+04,1.121e+05
143.6,6.668e+04,2.498e+04,1.699e+04,1.087e+05
145.1,9.096e+04,2.358e+04,1.646e+04,1.310e+05
146.5,8.444e+04,2.141e+04,1.745e+04,1.233e+05
148.0,6.607e+04,2.068e+04,1.274e+04,9.949e+04
149.4,6.768e+04,1.794e+04,1.093e+04,9.655e+04
150.8,5.989e+04,1.696e+04,1.624e+04,9.309e+04
152.3,5.557e+04,1.812e+04,1.339e+04,8.709e+04
153.7,5.230e+04,1.625e+04,1.132e+04,7.988e+04
155.1,5.922e+04,1.317e+04,1.412e+04,8.650e+04
156.6,6.107e+04,1.306e+04,1.407e+04,8.819e+04
158.0,5.589e+04,1.580e+04,1.374e+04,8.544e+04
159.4,5.186e+04,1.582e+04,1.334e+04,8.102e+04
160.9,4.898e+04,1.347e+04,1.111e+04,7.356e+04
162.3,5.649e+04,1.457e+04,1.228e+04,8.334e+04
163.8,6.545e+04,1.385e+04,1.236e+04,9.166e+04
165.2,4.855e+04,1.409e+04,1.016e+04,7.280e+04
166.6,5.364e+04,1.302e+04,8.531e+03,7.519e+04
168.1,5.545e+04,1.195e+04,9.713e+03,7.711e+04
169.5,4.947e+04,1.402e+04,9.372e+03,7.286e+04
170.9,5.965e+04,1.240e+04,9.833e+03,8.188e+04
172.4,5.002e+04,1.050e+04,9.787e+03,7.031e+04
173.8,4.374e+04,1.017e+04,8.582e+03,6.249e+04
175.3,4.141e+04,1.109e+04,7.050e+03,5.955e+04
176.7,3.744e+04,9.706e+03,6.569e+03,5.371e+04
178.1,4.058e+04,9.287e+03,6.402e+03,5.627e+04
179.6,4.521e+04,9.513e+03,8.197e+03,6.292e+04
181.0,2.752e+04,9.963e+03,7.654e+03,4.514e+04
182.4,3.068e+04,8.571e+03,6.830e+03,4.608e+04
183.9,3.476e+04,8.480e+03,6.912e+03,5.015e+04
185.3,3.122e+04,9.829e+03,6.624e+03,4.768e+04
186.7,2.455e+04,9.005e+03,6.640e+03,4.020e+04
188.2,2.447e+04,6.938e+03,6.171e+03,3.758e+04
189.6,2.590e+04,8.141e+03,6.392e+03,4.043e+04
191.1,2.570e+04,9.120e+03,6.498e+03,4.131e+04
192.5,2.433e+04,7.700e+03,6.521e+03,3.855e+04
193.9,2.039e+04,7.604e+03,6.278e+03,3.428e+04
195.4,2.487e+04,7.717e+03,6.346e+03,3.894e+04
196.8,2.510e+04,6.094e+03,5.718e+03,3.691e+04
198.2,2.788e+04,5.036e+03,5.944e+03,3.886e+04
199.7,2.545e+04,5.221e+03,5.246e+03,3.591e+04
